Date	Day	Time	Pred	High/Low
2020/09/30	Wed	03:43	1.68	H
2020/09/30	Wed	10:04	0.05	L
2020/09/30	Wed	16:20	1.56	H
2020/09/30	Wed	22:10	0.31	L
2020/10/01	Thu	04:16	1.64	H
2020/10/01	Thu	10:28	0.12	L
2020/10/01	Thu	16:41	1.59	H
2020/10/01	Thu	22:41	0.25	L
2020/10/02	Fri	04:48	1.57	H
2020/10/02	Fri	10:50	0.21	L
2020/10/02	Fri	17:02	1.62	H
2020/10/02	Fri	23:12	0.21	L
2020/10/03	Sat	05:20	1.48	H
2020/10/03	Sat	11:12	0.32	L
2020/10/03	Sat	17:24	1.63	H
2020/10/03	Sat	23:44	0.20	L
2020/10/04	Sun	05:53	1.37	H
2020/10/04	Sun	11:33	0.43	L
2020/10/04	Sun	17:47	1.62	H
2020/10/05	Mon	00:19	0.22	L
2020/10/05	Mon	06:30	1.24	H
2020/10/05	Mon	11:52	0.56	L
2020/10/05	Mon	18:10	1.59	H
2020/10/06	Tue	00:58	0.26	L
2020/10/06	Tue	07:14	1.11	H
2020/10/06	Tue	12:07	0.69	L
2020/10/06	Tue	18:34	1.54	H
2020/10/07	Wed	01:47	0.31	L
2020/10/07	Wed	08:16	0.98	H
2020/10/07	Wed	12:17	0.81	L
2020/10/07	Wed	19:05	1.48	H
2020/10/08	Thu	02:54	0.36	L
2020/10/08	Thu	19:52	1.40	H
2020/10/09	Fri	04:25	0.36	L
2020/10/09	Fri	21:26	1.35	H
2020/10/10	Sat	05:52	0.28	L
2020/10/10	Sat	14:02	1.10	H
2020/10/10	Sat	17:29	1.05	L
2020/10/10	Sat	23:16	1.38	H
2020/10/11	Sun	06:53	0.16	L
2020/10/11	Sun	14:06	1.21	H
2020/10/11	Sun	18:47	0.90	L
2020/10/12	Mon	00:34	1.49	H
2020/10/12	Mon	07:38	0.04	L
2020/10/12	Mon	14:25	1.34	H
2020/10/12	Mon	19:39	0.69	L
2020/10/13	Tue	01:33	1.61	H
2020/10/13	Tue	08:17	-0.04	L
2020/10/13	Tue	14:49	1.48	H
2020/10/13	Tue	20:24	0.46	L
2020/10/14	Wed	02:24	1.72	H
2020/10/14	Wed	08:53	-0.09	L
2020/10/14	Wed	15:17	1.64	H
2020/10/14	Wed	21:07	0.23	L
2020/10/15	Thu	03:12	1.77	H
2020/10/15	Thu	09:27	-0.08	L
2020/10/15	Thu	15:47	1.78	H
2020/10/15	Thu	21:51	0.03	L
2020/10/16	Fri	03:59	1.76	H
2020/10/16	Fri	10:02	-0.01	L
2020/10/16	Fri	16:19	1.90	H
2020/10/16	Fri	22:36	-0.12	L
2020/10/17	Sat	04:47	1.69	H
2020/10/17	Sat	10:37	0.11	L
2020/10/17	Sat	16:53	1.98	H
2020/10/17	Sat	23:24	-0.21	L
2020/10/18	Sun	05:37	1.56	H
2020/10/18	Sun	11:13	0.27	L
2020/10/18	Sun	17:30	2.00	H
2020/10/19	Mon	00:14	-0.23	L
2020/10/19	Mon	06:32	1.39	H
2020/10/19	Mon	11:49	0.45	L
2020/10/19	Mon	18:10	1.95	H
2020/10/20	Tue	01:10	-0.17	L
2020/10/20	Tue	07:36	1.23	H
2020/10/20	Tue	12:29	0.64	L
2020/10/20	Tue	18:54	1.84	H
2020/10/21	Wed	02:13	-0.08	L
2020/10/21	Wed	08:57	1.10	H
2020/10/21	Wed	13:19	0.83	L
2020/10/21	Wed	19:48	1.69	H
2020/10/22	Thu	03:29	0.02	L
2020/10/22	Thu	10:54	1.07	H
2020/10/22	Thu	14:40	0.97	L
2020/10/22	Thu	21:02	1.52	H
2020/10/23	Fri	04:55	0.08	L
2020/10/23	Fri	12:41	1.17	H
2020/10/23	Fri	16:48	1.00	L
2020/10/23	Fri	22:38	1.42	H
2020/10/24	Sat	06:12	0.08	L
2020/10/24	Sat	13:34	1.28	H
2020/10/24	Sat	18:34	0.88	L
2020/10/25	Sun	00:08	1.40	H
2020/10/25	Sun	07:10	0.07	L
2020/10/25	Sun	14:08	1.39	H
2020/10/25	Sun	19:37	0.71	L
2020/10/26	Mon	01:16	1.43	H
2020/10/26	Mon	07:54	0.08	L
2020/10/26	Mon	14:35	1.47	H
2020/10/26	Mon	20:20	0.55	L
2020/10/27	Tue	02:08	1.46	H
2020/10/27	Tue	08:28	0.12	L
2020/10/27	Tue	14:57	1.54	H
2020/10/27	Tue	20:55	0.40	L
2020/10/28	Wed	02:49	1.46	H
2020/10/28	Wed	08:56	0.17	L
2020/10/28	Wed	15:18	1.61	H
2020/10/28	Wed	21:26	0.28	L
2020/10/29	Thu	03:26	1.45	H
2020/10/29	Thu	09:21	0.23	L
2020/10/29	Thu	15:39	1.67	H
2020/10/29	Thu	21:56	0.17	L
2020/10/30	Fri	04:00	1.41	H
2020/10/30	Fri	09:45	0.30	L
2020/10/30	Fri	16:00	1.72	H
2020/10/30	Fri	22:26	0.09	L
2020/10/31	Sat	04:34	1.36	H
2020/10/31	Sat	10:07	0.38	L
2020/10/31	Sat	16:21	1.75	H
2020/10/31	Sat	22:57	0.04	L
